date,datetime,SPOSTMIN,SACTMIN
5/28/2017,5/28/2017 10:59,250,
5/28/2017,5/28/2017 11:03,250,
5/28/2017,5/28/2017 11:17,250,
5/28/2017,5/28/2017 11:24,250,
5/28/2017,5/28/2017 11:30,195,
5/28/2017,5/28/2017 11:38,195,
5/28/2017,5/28/2017 11:45,195,
5/28/2017,5/28/2017 11:52,120,
5/28/2017,5/28/2017 12:03,120,
5/28/2017,5/28/2017 12:10,120,
5/28/2017,5/28/2017 12:17,120,
5/28/2017,5/28/2017 12:24,120,
5/28/2017,5/28/2017 12:30,120,
5/28/2017,5/28/2017 12:38,120,
5/28/2017,5/28/2017 12:52,120,
5/28/2017,5/28/2017 12:59,120,
5/28/2017,5/28/2017 13:03,120,
5/28/2017,5/28/2017 13:10,120,
5/28/2017,5/28/2017 13:17,120,
5/28/2017,5/28/2017 13:24,120,
5/28/2017,5/28/2017 13:30,120,
5/28/2017,5/28/2017 13:38,120,
5/28/2017,5/28/2017 13:45,120,
5/28/2017,5/28/2017 13:59,120,
5/28/2017,5/28/2017 14:03,120,
5/28/2017,5/28/2017 14:10,120,
5/28/2017,5/28/2017 14:17,120,
5/28/2017,5/28/2017 14:24,120,
5/28/2017,5/28/2017 14:30,120,
5/28/2017,5/28/2017 14:38,120,
5/28/2017,5/28/2017 14:45,120,
5/28/2017,5/28/2017 14:52,120,
5/28/2017,5/28/2017 14:59,120,
5/28/2017,5/28/2017 15:03,150,
5/28/2017,5/28/2017 15:10,150,
5/28/2017,5/28/2017 15:17,150,
5/28/2017,5/28/2017 15:24,150,
5/28/2017,5/28/2017 15:30,150,
5/28/2017,5/28/2017 15:38,210,
5/28/2017,5/28/2017 15:52,250,
5/28/2017,5/28/2017 15:59,250,
5/28/2017,5/28/2017 16:03,250,
5/28/2017,5/28/2017 16:10,250,
5/28/2017,5/28/2017 16:24,250,
5/28/2017,5/28/2017 16:30,250,
5/28/2017,5/28/2017 16:09,,34
5/28/2017,5/28/2017 16:45,300,
5/28/2017,5/28/2017 16:52,295,
5/28/2017,5/28/2017 16:59,295,
5/28/2017,5/28/2017 17:03,295,
5/28/2017,5/28/2017 17:17,295,
5/28/2017,5/28/2017 17:24,295,
5/28/2017,5/28/2017 17:30,295,
5/28/2017,5/28/2017 17:38,295,
5/28/2017,5/28/2017 17:52,295,
5/28/2017,5/28/2017 18:03,295,
5/28/2017,5/28/2017 18:10,295,
5/28/2017,5/28/2017 18:17,240,
5/28/2017,5/28/2017 13:57,,260
5/28/2017,5/28/2017 18:24,240,
5/28/2017,5/28/2017 18:30,240,
5/28/2017,5/28/2017 18:38,240,
5/28/2017,5/28/2017 13:38,,301
5/28/2017,5/28/2017 18:45,240,
5/28/2017,5/28/2017 18:52,240,
5/28/2017,5/28/2017 19:03,240,
5/28/2017,5/28/2017 19:10,240,
5/28/2017,5/28/2017 19:17,240,
5/28/2017,5/28/2017 19:30,160,
5/28/2017,5/28/2017 19:38,160,
5/28/2017,5/28/2017 19:45,160,
5/28/2017,5/28/2017 19:52,160,
5/28/2017,5/28/2017 19:59,160,
5/28/2017,5/28/2017 20:03,160,
5/28/2017,5/28/2017 20:10,160,
5/28/2017,5/28/2017 20:17,160,
5/28/2017,5/28/2017 20:24,160,
5/28/2017,5/28/2017 20:30,160,
5/28/2017,5/28/2017 20:38,160,
5/28/2017,5/28/2017 20:45,160,
5/28/2017,5/28/2017 20:52,160,
5/28/2017,5/28/2017 20:56,-999,
5/28/2017,5/28/2017 20:59,160,
5/28/2017,5/28/2017 21:03,160,
5/28/2017,5/28/2017 21:10,160,
5/28/2017,5/28/2017 21:17,160,
5/28/2017,5/28/2017 21:24,160,
5/28/2017,5/28/2017 21:30,160,
5/28/2017,5/28/2017 21:38,160,
5/28/2017,5/28/2017 21:45,-999,
5/28/2017,5/28/2017 21:52,-999,
